HHID,NWEIGHT,REGIONC,DIVISION,SHARELQT,LIVEATSP,KOWNRENT,OCCUPYY,OCCUPYM,ANSWERHH,HOUSEHLD,HHSEX,HHAGE,EMPLOYHH,ANSWER02,KIN02,SEX02,YEARS02,EMPLOY02,ANSWER03,KIN03,SEX03,YEARS03,EMPLOY03,ANSWER04,KIN04,SEX04,YEARS04,EMPLOY04,ANSWER05,KIN05,SEX05,YEARS05,EMPLOY05,ANSWER06,KIN06,SEX06,YEARS06,EMPLOY06,ANSWER07,KIN07,SEX07,YEARS07,EMPLOY07,ANSWER08,KIN08,SEX08,YEARS08,EMPLOY08,ANSWER09,KIN09,SEX09,YEARS09,EMPLOY09,ANSWER10,KIN10,SEX10,YEARS10,EMPLOY10,ANSWER11,KIN11,SEX11,YEARS11,EMPLOY11,ANSWER12,KIN12,SEX12,YEARS12,EMPLOY12,NHSLDMEM,DRIVEMON,GRADHH,MARRIED,ORIGIN,SDESCENT,WAGES,SELFHIRE,SSECURTY,PENSIONS,FSTAMPS,AFDC,UNEMPLOY,SSI,OTHERAID,MONEYPY,INC35PLU,HUPROJ,RENTHELP,DRIVECAR,VEHICLES,AREA1980,FAMSIZE,POOR100,POOR125,HOWPAID
4230,8057,2,4,0,9,1,03,99,1,01,2,76,0,0,02,1,76,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,12,1,1,0,0,0,1,1,0,0,0,0,0,22,9,9,9,1,02,4,2,0,0,1
4231,8889,1,1,0,9,2,11,05,1,01,1,20,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,01,12,4,1,0,1,0,0,0,1,0,0,0,0,08,9,0,0,1,01,2,1,0,0,1
4232,19513,4,9,0,9,1,03,99,1,01,2,65,0,0,02,1,65,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,12,1,1,0,0,0,1,1,0,0,0,0,0,20,9,9,9,1,02,2,2,0,0,1
4233,47088,3,5,1,0,1,06,99,1,01,1,57,0,0,02,2,57,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,12,1,1,0,1,1,0,0,0,0,0,0,0,23,9,9,9,1,03,2,2,0,0,1
4234,7484,2,4,0,9,2,11,07,1,01,1,25,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,01,16,4,1,0,1,0,0,0,0,0,0,0,0,16,9,0,0,1,01,4,1,0,0,1
4235,15515,4,9,0,9,2,09,03,1,01,1,28,0,0,02,2,35,0,0,03,2,10,9,0,03,2,8,9,0,03,1,6,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,05,02,11,1,1,0,0,0,0,0,1,1,0,1,0,05,1,0,0,1,01,4,5,1,1,1
4236,12657,3,6,0,9,1,05,99,1,01,2,50,1,0,02,1,31,0,0,03,2,21,0,0,03,1,16,0,0,03,1,9,9,0,03,1,1,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,06,03,12,1,1,0,1,0,0,0,0,0,0,0,0,17,9,9,9,1,03,2,6,0,0,1
4237,21179,2,3,0,9,1,04,99,1,01,1,75,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,01,12,1,1,0,0,0,1,1,0,0,0,0,0,14,9,9,9,1,01,2,1,0,0,1
4238,24722,3,5,1,0,1,05,99,1,01,1,55,0,0,02,2,54,1,0,03,1,26,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,03,03,08,1,1,0,1,1,0,0,0,0,0,0,0,19,9,9,9,1,02,4,3,0,0,1
4239,8006,2,4,0,9,1,05,99,0,01,2,42,1,1,02,1,40,0,0,03,1,20,1,0,03,2,18,0,0,03,1,16,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,05,04,15,1,1,0,1,1,0,0,0,0,0,0,0,22,9,9,9,1,04,2,5,0,0,1
