HHID,NWEIGHT,REGIONC,DIVISION,CORDONE,WOODAMT,CORDPLUS,NLPGDELV,KLPGSUPP,NLPGSUPP,NFODELV,NUMFOCO,NUMFOSUP,QUANTFO,BUYKERO,NUMKRDEL,TOTPAYKR,TOTDELKR,NUMKRGAL,TOTKRGAL,TOTKRUSE,GALLONKR,BTUKER,KWH,BTUEL,THERMNG,BTUNG,GALLONFO,BTUFO,THERMLP,BTULP,BTUELAPL,BTUELCOL,BTUELSPH,BTUELWTH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTUKRAPL,BTUKRSPH,BTUKRWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUNGAPL,BTUNGCOL,BTUNGSPH,BTUNGWTH
6026,13689,3,5,1,3,999,99,9,9,1,1,9,2,9,9,9999,99,999,9999,9,999999,9999999,21364,72894,999999,9999999,378,52425,999999,9999999,38005,14475,9999999,20413,9999999,52425,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6027,12276,3,6,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,13993,47744,999999,9999999,999999,9999999,999999,9999999,23967,4093,12134,7550,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6028,16866,3,5,2,9,20,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,7669,26167,999999,9999999,999999,9999999,999999,9999999,17818,9999999,9999999,8349,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6029,9897,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2760,9418,757,75714,999999,9999999,999999,9999999,5083,4335,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,4014,9999999,59589,12111
6030,21522,3,5,9,9,999,99,9,9,1,1,9,2,9,9,9999,99,999,9999,9,999999,9999999,13731,46850,999999,9999999,254,35223,999999,9999999,24089,9690,9999999,13071,9999999,35223,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6031,8387,1,1,9,9,999,94,1,9,10,1,9,3,9,9,9999,99,999,9999,9,999999,9999999,13480,45994,999999,9999999,1100,152559,999999,9999999,38552,3025,4417,9999999,9999999,115858,36701,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6032,19020,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,18886,64439,1260,126000,999999,9999999,999999,9999999,38822,9999999,9999999,25617,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,6404,9999999,119596,9999999
6033,8049,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,1021,3483,882,88222,999999,9999999,999999,9999999,3483,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,8211,9999999,56721,23290
6034,14088,2,4,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,20263,69137,1875,187500,999999,9999999,999999,9999999,42549,26588,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9219,9999999,143321,34961
6035,13832,1,2,1,1,999,99,9,9,5,1,9,4,9,9,9999,99,999,9999,9,999999,9999999,10919,37256,999999,9999999,631,85185,999999,9999999,25091,1370,9999999,10794,9999999,85185,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6036,16280,1,2,9,9,999,99,9,9,7,1,9,4,1,1,9999,2,50,9999,9,160,21559,8432,28770,336,33600,745,103324,999999,9999999,24856,9999999,3914,9999999,9999999,103324,9999999,9999999,21559,9999999,9999999,9999999,9999999,11049,9999999,9999999,22551
6037,20938,4,9,1,1,999,99,9,9,98,1,9,2,9,9,9999,99,999,9999,9,999999,9999999,8503,29012,999999,9999999,566,78499,999999,9999999,18914,9999999,1983,8115,9999999,78499,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6038,8387,1,1,1,3,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,13529,46161,2227,222700,999999,9999999,999999,9999999,37973,8188,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,10970,9999999,165463,46267
6039,9582,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,3524,12021,874,87400,999999,9999999,999999,9999999,8143,3878,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,6622,9999999,59472,21305
